"CCT(proX)","CCC(proT)","CCA(proU)","CCG(proY)","geneLocus","geneType","geneSymbol"
1,NA,NA,NA,"MTB000001","tRNA","ileT"
NA,1,NA,NA,"MTB000002","tRNA","alaT"
NA,1,1,NA,"MTB000003","tRNA","leuT"
NA,NA,1,NA,"MTB000004","tRNA","glyU"
NA,1,2,NA,"MTB000005","tRNA","tyrT"
NA,1,NA,1,"MTB000006","tRNA","thrT"
NA,NA,NA,NA,"MTB000007","tRNA","metT"
2,NA,1,1,"MTB000008","tRNA","trpT"
NA,NA,NA,NA,"MTB000009","tRNA","thrV"
2,NA,1,1,"MTB000010","tRNA","lysT"
NA,1,NA,NA,"MTB000011","tRNA","gluT"
1,1,NA,1,"MTB000012","tRNA","aspT"
1,1,NA,NA,"MTB000013","tRNA","pheU"
2,NA,NA,NA,"MTB000014","tRNA","argT"
NA,1,NA,NA,"MTB000015","tRNA","alaV"
1,NA,NA,NA,"MTB000016","tRNA","glnT"
NA,1,NA,NA,"MTB000017","tRNA","leuX"
2,1,NA,1,"MTB000018","tRNA","argV"
8,6,4,7,"MTB000019","rRNA","rrs"
14,22,16,35,"MTB000020","rRNA","rrl"
NA,2,1,2,"MTB000021","rRNA","rrf"
1,1,NA,2,"MTB000022","tRNA","leuW"
NA,1,NA,NA,"MTB000023","tRNA","leuV"
NA,1,NA,NA,"MTB000024","tRNA","proT"
NA,2,NA,NA,"MTB000025","tRNA","leuU"
1,1,2,8,"MTB000026","misc_RNA","rnpB"
NA,NA,1,1,"MTB000027","tRNA","valV"
NA,2,NA,1,"MTB000028","tRNA","metV"
2,1,NA,NA,"MTB000029","tRNA","asnT"
NA,1,NA,NA,"MTB000030","tRNA","proU"
1,NA,1,1,"MTB000031","tRNA","glyV"
NA,NA,NA,NA,"MTB000032","tRNA","argW"
NA,1,NA,NA,"MTB000033","tRNA","hisT"
NA,1,NA,1,"MTB000034","tRNA","lysU"
NA,1,1,1,"MTB000035","tRNA","valT"
NA,1,NA,NA,"MTB000036","tRNA","glyT"
NA,NA,NA,NA,"MTB000037","tRNA","cysU"
NA,NA,NA,NA,"MTB000038","tRNA","valU"
1,3,NA,1,"MTB000039","tRNA","gluU"
NA,1,1,NA,"MTB000040","tRNA","glnU"
NA,1,NA,NA,"MTB000041","tRNA","alaU"
1,2,3,2,"MTB000042","misc_RNA","ssr"
NA,2,NA,NA,"MTB000043","tRNA","metU"
NA,NA,NA,NA,"MTB000044","tRNA","thrU"
NA,1,NA,NA,"MTB000045","tRNA","proY"
2,NA,NA,NA,"MTB000046","tRNA","serV"
2,NA,1,3,"MTB000047","tRNA","serX"
NA,1,NA,NA,"MTB000048","tRNA","argU"
NA,1,1,1,"MTB000049","tRNA","serT"
2,NA,1,3,"MTB000050","tRNA","serU"
1,2,NA,1,"MTB000051","ncRNA","F6"
NA,1,1,1,"MTB000052","ncRNA","B55"
3,2,3,2,"MTB000053","ncRNA","ASdes"
1,4,3,3,"MTB000054","ncRNA","G2"
NA,3,3,3,"MTB000055","ncRNA","AS1726"
1,2,3,5,"MTB000056","ncRNA","AS1890"
NA,6,1,1,"MTB000057","ncRNA","ASpks"
3,5,NA,NA,"MTB000058","ncRNA","B11"
NA,4,1,1,"MTB000059","ncRNA","C8"
NA,NA,1,NA,"MTB000060","ncRNA","mcr19"
NA,NA,1,NA,"MTB000061","ncRNA","mpr5"
NA,1,NA,3,"MTB000062","ncRNA","mpr6"
NA,NA,NA,NA,"MTB000063","-10_signal","mcr11"
NA,NA,NA,NA,"MTB000063","-35_signal","mcr11"
NA,3,NA,4,"MTB000063","ncRNA","mcr11"
NA,1,NA,NA,"MTB000064","ncRNA","mcr3"
NA,NA,1,1,"MTB000065","ncRNA","mcr15"
NA,NA,NA,NA,"MTB000066","ncRNA","mcr5"
1,2,2,5,"MTB000067","ncRNA","mcr7"
NA,1,1,2,"MTB000068","ncRNA","mpr11"
1,1,1,NA,"MTB000069","ncRNA","mpr12"
NA,1,2,1,"MTB000070","ncRNA","mpr17"
NA,1,NA,NA,"MTB000071","ncRNA","mpr18"
1,2,1,1,"MTB000072","ncRNA","mcr10"
NA,NA,NA,NA,"MTB000073","ncRNA","mcr16"
NA,1,1,1,"MTB000074","ncRNA","MTS0858"
NA,NA,NA,NA,"MTB000075","ncRNA","ncrMT1234"
NA,1,NA,1,"MTB000076","ncRNA","MTS1082"
3,NA,1,1,"MTB000077","ncRNA","MTS1338"
1,4,2,3,"MTB000078","ncRNA","MTS2823"
NA,1,2,2,"MTB000079","ncRNA","ncrMT3949"
1,NA,1,NA,"MTB000080","ncRNA","MTS2975"
2,1,2,3,"MTB000100","ncRNA","ncRv10071"
NA,1,NA,1,"MTB000101","ncRNA","ncRv10071c"
NA,NA,2,3,"MTB000102","ncRNA","ncRv10128"
NA,NA,2,1,"MTB000103","ncRNA","ncRv10128c"
1,NA,NA,1,"MTB000104","ncRNA","ncRv10150c"
2,2,1,2,"MTB000105","ncRNA","ncRv0179"
NA,NA,1,4,"MTB000106","ncRNA","ncRv0186c"
NA,4,NA,NA,"MTB000107","ncRNA","ncRv10243"
2,1,1,1,"MTB000108","ncRNA","ncRv0441c"
NA,NA,NA,1,"MTB000109","ncRNA","ncRv10467"
1,NA,NA,3,"MTB000110","ncRNA","ncRv0490"
2,1,NA,NA,"MTB000111","ncRNA","ncRv10609"
1,1,1,NA,"MTB000112","ncRNA","ncRv10637"
NA,NA,NA,NA,"MTB000113","ncRNA","ncRv0638"
NA,3,1,1,"MTB000114","ncRNA","ncRv0641"
1,NA,NA,2,"MTB000115","ncRNA","ncRv10666"
NA,NA,2,NA,"MTB000116","ncRNA","ncRv10685"
NA,2,2,1,"MTB000117","ncRNA","ncRv10699"
1,2,NA,2,"MTB000118","ncRNA","ncRv0724"
1,1,1,2,"MTB000119","ncRNA","ncRv0810c"
NA,1,NA,NA,"MTB000120","ncRNA","ncRv10860"
NA,1,NA,NA,"MTB000121","ncRNA","ncRv0897"
NA,4,NA,3,"MTB000122","ncRNA","ncRv0952"
2,NA,NA,NA,"MTB000123","ncRNA","ncRv10996"
1,1,1,1,"MTB000124","ncRNA","ncRv11042c"
2,NA,NA,NA,"MTB000125","ncRNA","ncRv1072"
NA,2,NA,1,"MTB000126","ncRNA","ncRv11144c"
NA,1,NA,2,"MTB000127","ncRNA","ncRv11147c"
1,1,NA,1,"MTB000128","ncRNA","ncRv11179c"
1,1,1,NA,"MTB000129","ncRNA","ncRv11199"
NA,3,NA,4,"MTB000130","ncRNA","ncRv11264c"
NA,NA,NA,1,"MTB000131","ncRNA","ncRv1298"
NA,NA,1,1,"MTB000132","ncRNA","ncRv11298"
NA,1,1,NA,"MTB000133","ncRNA","ncRv11315"
NA,1,NA,NA,"MTB000134","ncRNA","ncRv1329"
2,2,2,6,"MTB000135","ncRNA","ncRv1389"
NA,NA,NA,2,"MTB000136","ncRNA","ncRv1501"
1,1,1,1,"MTB000137","ncRNA","ncRv1617"
NA,NA,1,3,"MTB000138","ncRNA","ncRv1621c"
2,NA,1,1,"MTB000139","ncRNA","ncRv11733"
NA,NA,NA,1,"MTB000140","ncRNA","ncRv11793"
NA,1,NA,NA,"MTB000141","ncRNA","ncRv1821"
2,2,1,2,"MTB000142","ncRNA","ncRv11846"
1,1,NA,NA,"MTB000143","ncRNA","ncRv12023"
NA,2,1,NA,"MTB000144","ncRNA","ncRv12220"
1,1,NA,1,"MTB000145","ncRNA","ncRv12459"
NA,1,NA,2,"MTB000146","ncRNA","ncRv12557"
NA,2,1,NA,"MTB000147","ncRNA","ncRv12641"
2,2,2,1,"MTB000148","ncRNA","ncRv12783c"
NA,NA,1,2,"MTB000149","ncRNA","ncRv2986c"
NA,NA,NA,4,"MTB000150","ncRNA","ncRv2993c"
NA,1,NA,NA,"MTB000151","ncRNA","ncRv13003c"
NA,1,NA,4,"MTB000152","ncRNA","ncRv3220"
NA,1,NA,1,"MTB000153","ncRNA","ncRv13303"
1,1,2,6,"MTB000154","ncRNA","ncRv13418cA"
1,1,NA,4,"MTB000155","ncRNA","ncRv13418cB"
