"CCT(proX)","CCC(proT)","CCA(proU)","CCG(proY)","geneSymbol","geneType","geneLocus"
100,NA,NA,NA,"ileT","tRNA","MTB000001"
NA,100,NA,NA,"alaT","tRNA","MTB000002"
NA,50,50,NA,"leuT","tRNA","MTB000003"
NA,NA,100,NA,"glyU","tRNA","MTB000004"
NA,33.3333333333333,66.6666666666667,NA,"tyrT","tRNA","MTB000005"
NA,50,NA,50,"thrT","tRNA","MTB000006"
NA,NA,NA,NA,"metT","tRNA","MTB000007"
50,NA,25,25,"trpT","tRNA","MTB000008"
NA,NA,NA,NA,"thrV","tRNA","MTB000009"
50,NA,25,25,"lysT","tRNA","MTB000010"
NA,100,NA,NA,"gluT","tRNA","MTB000011"
33.3333333333333,33.3333333333333,NA,33.3333333333333,"aspT","tRNA","MTB000012"
50,50,NA,NA,"pheU","tRNA","MTB000013"
100,NA,NA,NA,"argT","tRNA","MTB000014"
NA,100,NA,NA,"alaV","tRNA","MTB000015"
100,NA,NA,NA,"glnT","tRNA","MTB000016"
NA,100,NA,NA,"leuX","tRNA","MTB000017"
50,25,NA,25,"argV","tRNA","MTB000018"
32,24,16,28,"rrs","rRNA","MTB000019"
16.0919540229885,25.2873563218391,18.3908045977011,40.2298850574713,"rrl","rRNA","MTB000020"
NA,40,20,40,"rrf","rRNA","MTB000021"
25,25,NA,50,"leuW","tRNA","MTB000022"
NA,100,NA,NA,"leuV","tRNA","MTB000023"
NA,100,NA,NA,"proT","tRNA","MTB000024"
NA,100,NA,NA,"leuU","tRNA","MTB000025"
8.33333333333333,8.33333333333333,16.6666666666667,66.6666666666667,"rnpB","misc_RNA","MTB000026"
NA,NA,50,50,"valV","tRNA","MTB000027"
NA,66.6666666666667,NA,33.3333333333333,"metV","tRNA","MTB000028"
66.6666666666667,33.3333333333333,NA,NA,"asnT","tRNA","MTB000029"
NA,100,NA,NA,"proU","tRNA","MTB000030"
33.3333333333333,NA,33.3333333333333,33.3333333333333,"glyV","tRNA","MTB000031"
NA,NA,NA,NA,"argW","tRNA","MTB000032"
NA,100,NA,NA,"hisT","tRNA","MTB000033"
NA,50,NA,50,"lysU","tRNA","MTB000034"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"valT","tRNA","MTB000035"
NA,100,NA,NA,"glyT","tRNA","MTB000036"
NA,NA,NA,NA,"cysU","tRNA","MTB000037"
NA,NA,NA,NA,"valU","tRNA","MTB000038"
20,60,NA,20,"gluU","tRNA","MTB000039"
NA,50,50,NA,"glnU","tRNA","MTB000040"
NA,100,NA,NA,"alaU","tRNA","MTB000041"
12.5,25,37.5,25,"ssr","misc_RNA","MTB000042"
NA,100,NA,NA,"metU","tRNA","MTB000043"
NA,NA,NA,NA,"thrU","tRNA","MTB000044"
NA,100,NA,NA,"proY","tRNA","MTB000045"
100,NA,NA,NA,"serV","tRNA","MTB000046"
33.3333333333333,NA,16.6666666666667,50,"serX","tRNA","MTB000047"
NA,100,NA,NA,"argU","tRNA","MTB000048"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"serT","tRNA","MTB000049"
33.3333333333333,NA,16.6666666666667,50,"serU","tRNA","MTB000050"
25,50,NA,25,"F6","ncRNA","MTB000051"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"B55","ncRNA","MTB000052"
30,20,30,20,"ASdes","ncRNA","MTB000053"
9.09090909090909,36.3636363636364,27.2727272727273,27.2727272727273,"G2","ncRNA","MTB000054"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"AS1726","ncRNA","MTB000055"
9.09090909090909,18.1818181818182,27.2727272727273,45.4545454545455,"AS1890","ncRNA","MTB000056"
NA,75,12.5,12.5,"ASpks","ncRNA","MTB000057"
37.5,62.5,NA,NA,"B11","ncRNA","MTB000058"
NA,66.6666666666667,16.6666666666667,16.6666666666667,"C8","ncRNA","MTB000059"
NA,NA,100,NA,"mcr19","ncRNA","MTB000060"
NA,NA,100,NA,"mpr5","ncRNA","MTB000061"
NA,25,NA,75,"mpr6","ncRNA","MTB000062"
NA,NA,NA,NA,"mcr11","-10_signal","MTB000063"
NA,NA,NA,NA,"mcr11","-35_signal","MTB000063"
NA,42.8571428571429,NA,57.1428571428571,"mcr11","ncRNA","MTB000063"
NA,100,NA,NA,"mcr3","ncRNA","MTB000064"
NA,NA,50,50,"mcr15","ncRNA","MTB000065"
